amf_no,pl_no,amf_ra,amf_dec,pl_ra,pl_dec,amf_z,pl_z,amf_rh,pl_sn,pl_msz
5,223,260.6324,32.1398,260.61499371705185,32.1354073480625,0.2252,0.22399999999999998,200.7117,14.030119000000001,7.778519999999999
6,1478,197.8796,-1.3356,197.8603309841854,-1.336351008537752,0.2042,0.1832,192.0829,16.741165,8.768981
7,307,250.1485,46.6917,250.094140346954,46.71027778797529,0.2248,0.228,182.3373,27.43035,11.691892
8,419,346.3402,21.0378,346.45894942510216,21.32443380940897,0.1453,-1.0,182.2769,6.727388,0.0
9,571,8.048,18.1312,8.034519063205039,18.153635976575607,0.3957,0.39564738,180.9544,7.712888700000001,7.6086564
10,519,203.1873,50.5346,203.1776745796011,50.51829258315993,0.311,0.2799,179.1883,16.456938,8.217336999999999
11,1319,188.5466,15.1803,188.48853519466184,15.175568705305276,0.2846,0.2816405,175.6441,5.996373999999999,5.282573999999999
12,482,350.2432,29.2029,350.2543462254634,29.21354996019353,0.5231,0.485,174.7108,7.058114999999999,7.643378
13,794,139.4938,51.7236,139.4836476837707,51.7220554783362,0.2574,0.2172,172.6889,12.363064999999999,6.847479300000001
14,894,140.1269,30.5018,140.09930660932008,30.503754481802364,0.2906,0.2952,171.445,7.5608296,6.130715400000001
16,316,347.00699999999995,-1.8981,347.04601246314155,-1.9213273468393568,0.3093,0.3047,170.2941,6.099679,5.3968086
17,221,322.0956,1.5831,322.11802830805044,1.5874349204354181,0.3901,0.392,169.8161,7.3045583,7.323019
18,422,203.8354,41.0006,203.8013920863991,41.00039651463272,0.2365,0.2279,166.2843,17.62787,8.126019
19,346,347.9211,3.6689999999999996,347.89824945913904,3.6286919562918767,0.3023,0.2998,166.1786,10.070412,7.4839993
20,411,353.6021,6.8497,353.5027673941861,7.057287688122735,0.3586,0.099,164.3592,5.4950665999999995,2.682528
22,315,328.4102,17.6964,328.423333987102,17.698582600671042,0.2733,0.2329,159.5833,19.090017,9.799097999999999
23,64,244.0383,6.9818,244.06748030147224,6.913714986303363,0.3388,0.33280623,157.7648,4.727308,5.477802
24,867,113.1628,31.6118,113.06460568542913,31.62610023064069,0.1947,0.171,157.3226,8.14396,5.1653047
28,866,132.5387,36.0605,132.53852964189636,36.07655916660907,0.3838,0.37799999999999995,153.0195,7.220646,6.840517500000001
30,551,4.9164,25.2836,4.9004143700912355,25.296498217656726,0.365,0.37118667,150.2141,8.151141,7.5822473
31,314,347.0926,-2.1922,347.09088367464295,-2.1956241116766235,0.3217,0.2966,149.3147,6.9629955,5.520188
31,316,347.0926,-2.1922,347.04601246314155,-1.9213273468393568,0.3217,0.3047,149.3147,6.099679,5.3968086
32,772,37.8558,6.9822,37.875455797775786,6.971621347181772,0.2412,0.2203,148.3704,7.980225,6.535912000000001
34,306,338.5984,5.8383,338.5627878598378,5.810817155187803,0.1771,0.159,145.2809,7.232649,4.287392
35,805,174.0443,40.0576,174.05054360455205,40.103211571503365,0.2912,0.28800000000000003,144.0431,5.6043652999999996,4.7928767
36,610,14.0123,26.3806,14.001803590069606,26.378361765258532,0.2266,0.1971,143.9792,12.772392,7.6541820000000005
37,1173,186.6912,21.8663,186.7141325148742,21.857499006385122,0.434,0.43726614,143.2243,4.7490034,5.1468973
39,818,39.9694,-1.5737,39.96505125350528,-1.5680820346543665,0.3686,0.373,141.2553,7.6157007,7.645353999999999
40,1050,163.5509,14.6454,163.57561406661975,14.65607963699852,0.3011,0.2994,140.3953,7.879230499999999,6.642860400000001
42,1040,180.3486,23.1085,180.32620665398488,23.095812169661652,0.2615,0.26899999999999996,139.8582,12.010733,7.485827400000001
43,404,346.7806,16.5549,346.80058491070776,16.509778702528422,0.2527,0.2502,139.124,6.8535542000000005,6.062336
45,203,314.7154,1.3747,314.7312174450861,1.3563280768620698,0.3503,0.33399999999999996,138.7693,6.785409,6.597796000000001
46,411,353.5091,7.0598,353.5027673941861,7.057287688122735,0.3178,0.099,138.1082,5.4950665999999995,2.682528
47,653,187.2917,47.6478,187.2235268103115,47.612346784063966,0.2569,0.254,137.9015,8.944844999999999,5.8776264000000005
50,841,121.9282,39.7738,121.973946109598,39.77549742760016,0.3672,0.36465296,136.93,5.469338400000001,5.988849
51,363,340.4866,17.5424,340.48529019436717,17.52328405777978,0.33299999999999996,0.3137,136.5135,6.1554875,5.496043
56,318,326.4887,20.4675,326.5373031783524,20.477777485605692,0.3444,0.25,133.3905,7.228796000000001,5.0252047
57,1589,210.2728,2.9235,210.25292455811692,2.8707609068846125,0.2527,0.2528,132.882,15.634510999999998,9.750274000000001
59,536,8.4712,-7.8443,8.486538526953723,-7.852818955943347,0.319,0.3044873,132.7104,6.866619999999999,5.622478
63,358,337.1111,20.6024,337.1295520436843,20.622053467272455,0.3823,0.41200000000000003,131.1057,9.531589,8.266169
64,1053,139.0438,-0.3931,139.05799570727885,-0.4118023143070445,0.3292,0.33240458,130.6355,4.905390000000001,4.867756
65,2,203.5283,20.271,203.55868280030043,20.255990465994845,0.1939,0.171,129.5478,9.256691,5.1223906999999995
66,595,195.8404,67.4689,195.88693701433758,67.44154397189257,0.2197,0.221,129.4944,5.4462347,3.1720164
67,989,126.507,4.3106,126.44771951695351,4.303618246083366,0.4747,0.2248,129.4368,6.795596000000001,4.8747344
71,109,250.8746,13.3566,250.8441049350129,13.38533477011459,0.1854,0.1819,129.1002,4.938958,3.7135267
72,682,175.5923,58.5142,175.5928396123401,58.522664160146505,0.3314,0.322,128.9226,10.648736,6.867678999999999
73,413,341.355,28.1372,341.36031572414214,28.14441465231483,0.3886,0.36173514,128.781,6.9766197,6.3128715
74,808,178.0463,37.2469,178.01673074815244,37.25365714015003,0.1655,0.1648,128.1389,5.6132903,3.1236892000000003
75,547,8.5521,-2.1648,8.635960225764196,-2.13866522877158,0.0954,0.0812,127.8218,6.1828847,2.3266964
77,388,356.3395,-3.0405,356.2861848138041,-3.0427217477116915,0.3525,0.35469857,126.5459,4.8225284,4.372104
78,606,192.4199,49.8679,192.42230642996554,49.87176207947917,0.2808,0.28379747,126.4975,5.681238,4.3827176
79,642,16.2255,0.0541,16.202905451898168,0.07431689120764481,0.2745,0.27699999999999997,126.4532,6.1924,5.7086267
82,657,177.7032,62.3198,177.79688429044398,62.35775509076944,0.3458,0.3452,125.4278,5.038318,4.454914
